event_id,template_id,customer_id,channel,message,order_id,account_tier,created_at,sla_due_at,intent,sentiment,priority,expected_policy,expected_action,reviewed_by
evt_00012,refund_request:08,cust_0297,email,"Hi, please cancel the annual subscription and put the amount back on my card. Appreciate it.",ord_56795,standard,2026-05-03T23:28:00+00:00,2026-05-05T01:28:00+00:00,refund_request,neutral,normal,refund_review,refund_review,synthetic_generator
evt_00013,refund_request:03,cust_0805,email,I no longer want order 88214 and expect the amount returned. I have had to chase this repeatedly. Regards.,ord_79972,standard,2026-04-14T02:11:00+00:00,2026-04-14T21:11:00+00:00,refund_request,negative,normal,refund_review,refund_review,synthetic_generator
evt_00014,general_question:12,cust_0351,social,"Hi, are spare parts available for the running shoes, whenever you get a chance. Thanks.",ord_67779,free,2026-04-29T16:28:00+00:00,2026-04-30T13:28:00+00:00,general_question,neutral,normal,auto_resolve,knowledge_response,synthetic_generator
evt_00015,complaint:03,cust_0348,phone,"Hi, nobody in your team seems to take the blue headphones seriously.",ord_56054,free,2026-04-27T17:14:00+00:00,2026-04-27T18:14:00+00:00,complaint,neutral,high,escalate,create_ticket,synthetic_generator
evt_00016,tracking_request:09,cust_0834,phone,"what does the courier say about the replacement charger at the moment. Your team has been great so far, thank you. Regards.",ord_41725,free,2026-04-10T22:01:00+00:00,2026-04-12T16:01:00+00:00,tracking_request,positive,normal,send_tracking_update,send_tracking_update,synthetic_generator
evt_00017,complaint:06,cust_0314,chat,"Good morning, every person I speak to about the running shoes tells me something different, which is really not good enough. Thanks.",ord_40014,standard,2026-04-30T01:08:00+00:00,2026-05-02T12:08:00+00:00,complaint,negative,normal,escalate,create_ticket,synthetic_generator
evt_00018,complaint:05,cust_0504,email,"Good morning, I am extremely let down by how the wireless keyboard was managed, whenever you get a chance. Regards.",ord_80636,standard,2026-04-09T13:29:00+00:00,2026-04-09T22:29:00+00:00,complaint,neutral,normal,escalate,create_ticket,synthetic_generator
evt_00019,delivery_issue:11,cust_0428,chat,"Hi, nobody has been able to deliver the replacement charger yet, and I am not happy about how long it has taken. Thanks.",ord_59559,free,2026-04-29T22:46:00+00:00,2026-04-30T19:46:00+00:00,delivery_issue,negative,normal,offer_credit,apply_credit,synthetic_generator
evt_00020,refund_request:04,cust_0249,chat,"Good morning, requesting reimbursement for the wireless keyboard. Please advise. Appreciate it.",ord_38165,standard,2026-05-03T10:19:00+00:00,2026-05-05T11:19:00+00:00,refund_request,neutral,normal,refund_review,refund_review,synthetic_generator
evt_00021,ambiguous:06,cust_0330,email,"Hi, I have given up waiting for order 88214, just close it out for me. Please advise.",ord_96216,enterprise,2026-04-28T16:10:00+00:00,2026-04-28T20:10:00+00:00,refund_request,neutral,high,refund_review,refund_review,synthetic_generator
evt_00022,general_question:11,cust_0468,chat,"Hey - Hi there, do I need an account to buy order 40917.",ord_53582,free,2026-04-14T23:17:00+00:00,2026-04-17T12:17:00+00:00,general_question,neutral,normal,auto_resolve,knowledge_response,synthetic_generator
evt_00023,delivery_issue:03,cust_0355,chat,"Hello, Honestly, courier marked the annual subscription as attempted but nobody came. I expected better than this. Appreciate it.",ord_97546,standard,2026-04-12T21:12:00+00:00,2026-04-15T09:12:00+00:00,delivery_issue,negative,normal,offer_credit,apply_credit,synthetic_generator
evt_00024,complaint:00,cust_0001,phone,"Hi, This is disappointing - this is teh third time I have written about the replacement charger and nobody replies. Thanks.",ord_52865,free,2026-04-12T17:14:00+00:00,2026-04-14T19:14:00+00:00,complaint,negative,normal,escalate,create_ticket,synthetic_generator
evt_00025,ambiguous:06,cust_0089,chat,"Hello, I have given up waiting for the kitchen scale, just close it out for me, whenever you get a chance. Regards.",ord_28304,standard,2026-05-01T00:22:00+00:00,2026-05-03T16:22:00+00:00,refund_request,neutral,normal,refund_review,refund_review,synthetic_generator
evt_00026,general_question:03,cust_0477,phone,"Hey - Hello, is the running shoes covered by your returns window. Thanks. Thanks.",ord_84577,standard,2026-05-05T14:45:00+00:00,2026-05-07T06:45:00+00:00,general_question,neutral,normal,auto_resolve,knowledge_response,synthetic_generator
evt_00027,refund_request:09,cust_0087,email,"Hey - Hello, I am returning the replacement charger, what happens with the payment. Thanks. Regards.",ord_93415,standard,2026-05-02T01:11:00+00:00,2026-05-03T08:11:00+00:00,refund_request,neutral,normal,refund_review,refund_review,synthetic_generator
evt_00028,delivery_issue:07,cust_0352,email,"Hi, This is disappointing - the driver could not find my address for my monthly plan. Regards.",ord_65153,standard,2026-04-18T08:43:00+00:00,2026-04-18T18:43:00+00:00,delivery_issue,negative,normal,offer_credit,apply_credit,synthetic_generator
evt_00029,delivery_issue:10,cust_0486,email,"Hello, Hi there, the tracking for the blue headphones has not moved in five days. Thanks.",ord_90747,free,2026-04-25T10:12:00+00:00,2026-04-26T06:12:00+00:00,delivery_issue,neutral,normal,offer_credit,apply_credit,synthetic_generator
evt_00030,general_question:01,cust_0651,social,"Hi there, does my monthly plan come in other sizes. Thanks.",ord_20355,free,2026-04-28T17:40:00+00:00,2026-04-29T02:40:00+00:00,general_question,positive,normal,auto_resolve,knowledge_response,synthetic_generator
evt_00031,complaint:03,cust_0318,social,"nobody in your team seems to take my monthly plan seriously, which is really not good enough. Appreciate it.",ord_28355,enterprise,2026-04-12T20:29:00+00:00,2026-04-14T06:29:00+00:00,complaint,negative,normal,escalate,create_ticket,synthetic_generator
evt_00032,tracking_request:13,cust_0430,phone,"Hi, Quick question - looking for an update on where the running shoes has got to. Please let me know.",ord_48822,standard,2026-05-04T17:15:00+00:00,2026-05-07T14:15:00+00:00,tracking_request,neutral,normal,send_tracking_update,send_tracking_update,synthetic_generator
evt_00033,delivery_issue:03,cust_0512,social,"Good morning, courier marked the wireless keyboard as attempted but nobody came. Please advise. Please let me know.",ord_28217,standard,2026-04-30T06:14:00+00:00,2026-05-01T14:14:00+00:00,delivery_issue,neutral,normal,offer_credit,apply_credit,synthetic_generator
evt_00034,general_question:07,cust_0843,social,"Hi, Hi there, is there a student discount available on order 40917. Regards.",ord_69052,free,2026-04-28T06:09:00+00:00,2026-04-30T16:09:00+00:00,general_question,neutral,normal,auto_resolve,knowledge_response,synthetic_generator
evt_00035,complaint:11,cust_0668,social,the way the blue headphones was dealt with reflects badly on your company. Please advise. Please let me know.,ord_42613,enterprise,2026-04-14T11:16:00+00:00,2026-04-17T10:16:00+00:00,complaint,neutral,normal,escalate,create_ticket,synthetic_generator
evt_00036,delivery_issue:07,cust_0386,email,"Hey - the driver could not find my address for order 40917. Your team has been great so far, thank you.",ord_86568,standard,2026-05-03T03:31:00+00:00,2026-05-04T05:31:00+00:00,delivery_issue,positive,normal,offer_credit,apply_credit,synthetic_generator
evt_00037,delivery_issue:13,cust_0025,phone,"Hi, Hello, my order containing order 40917 appears to be lost in transit. Thanks. Regards.",ord_11309,enterprise,2026-04-14T14:20:00+00:00,2026-04-17T14:20:00+00:00,delivery_issue,neutral,normal,offer_credit,apply_credit,synthetic_generator
evt_00038,refund_request:13,cust_0789,phone,Hey - raise a return for the kitchen scale and refund me please. I have had to chase this repeatedly. Regards.,ord_40512,free,2026-04-22T01:59:00+00:00,2026-04-24T02:59:00+00:00,refund_request,negative,normal,refund_review,refund_review,synthetic_generator
evt_00039,delivery_issue:05,cust_0080,phone,"Hey - it has been two weeks and the blue headphones has not reached me, which is really not good enough. Appreciate it.",ord_24144,free,2026-05-06T04:48:00+00:00,2026-05-08T11:48:00+00:00,delivery_issue,negative,normal,offer_credit,apply_credit,synthetic_generator
evt_00040,complaint:07,cust_0829,phone,"Hello, I have been passed between four agents about the blue headphones. This has been a frustrating experience. Please let me know.",ord_93301,free,2026-04-23T13:48:00+00:00,2026-04-26T09:48:00+00:00,complaint,negative,normal,escalate,create_ticket,synthetic_generator
evt_00041,general_question:12,cust_0899,email,"Hello, Quick question - are spare parts available for the standing desk. Appreciate it.",ord_66180,free,2026-04-21T09:17:00+00:00,2026-04-23T19:17:00+00:00,general_question,neutral,normal,auto_resolve,knowledge_response,synthetic_generator
evt_00042,delivery_issue:01,cust_0407,social,Hey - the parcel with the wireless keyboard is running behind schedule. Thanks.,ord_80922,standard,2026-04-08T04:26:00+00:00,2026-04-09T19:26:00+00:00,delivery_issue,neutral,normal,offer_credit,apply_credit,synthetic_generator
evt_00043,delivery_issue:02,cust_0036,social,"Good morning, order 40917 was meant to arrive on Tuesday and it is still not here. Regards.",ord_74943,free,2026-04-14T19:22:00+00:00,2026-04-15T07:22:00+00:00,delivery_issue,neutral,normal,offer_credit,apply_credit,synthetic_generator
evt_00044,tracking_request:02,cust_0267,email,Hey - what is the current location of the parcel with order 40917. Appreciate it.,ord_60981,free,2026-04-11T07:31:00+00:00,2026-04-13T21:31:00+00:00,tracking_request,neutral,normal,send_tracking_update,send_tracking_update,synthetic_generator
evt_00045,complaint:11,cust_0654,phone,the way the wireless keyboard was dealt with reflects badly on your company. This has been a frustrating experience.,ord_11244,enterprise,2026-05-02T01:40:00+00:00,2026-05-03T18:40:00+00:00,complaint,negative,normal,escalate,create_ticket,synthetic_generator
evt_00046,delivery_issue:13,cust_0664,email,"Good morning, my order containing the wireless keyboard appears to be lost in transit, whenever you get a chance. Regards.",ord_39799,enterprise,2026-04-08T05:50:00+00:00,2026-04-09T02:50:00+00:00,delivery_issue,negative,normal,offer_credit,apply_credit,synthetic_generator
evt_00047,general_question:07,cust_0875,chat,"Hello, is there a student discount available on the blue headphones. Please advise. Regards.",ord_99328,standard,2026-04-27T05:53:00+00:00,2026-04-27T20:53:00+00:00,general_question,neutral,normal,auto_resolve,knowledge_response,synthetic_generator
evt_00048,delivery_issue:12,cust_0840,social,"Hey - the estimated date for the wireless keyboard has passed with no update, which is really not good enough. Thanks.",ord_76086,free,2026-04-16T12:40:00+00:00,2026-04-18T13:40:00+00:00,delivery_issue,negative,normal,offer_credit,apply_credit,synthetic_generator
evt_00049,tracking_request:05,cust_0617,phone,"Hello, I want to follow the journey of my the wireless keyboard. No rush at all, you have been helpful. Thanks.",ord_39678,free,2026-05-01T02:18:00+00:00,2026-05-02T19:18:00+00:00,tracking_request,positive,normal,send_tracking_update,send_tracking_update,synthetic_generator
evt_00050,refund_request:01,cust_0814,social,"please reverse the charge on the wireless keyboard, and I am not happy about how long it has taken. Please let me know.",ord_39839,free,2026-04-22T02:59:00+00:00,2026-04-23T19:59:00+00:00,refund_request,negative,normal,refund_review,refund_review,synthetic_generator
evt_00051,complaint:12,cust_0860,email,"Hello, I keep being promised callbacks about order 40917 that never happen. At this point I have run out of patience. Appreciate it.",ord_48863,free,2026-04-16T23:04:00+00:00,2026-04-17T18:04:00+00:00,complaint,negative,normal,escalate,create_ticket,synthetic_generator
evt_00052,delivery_issue:03,cust_0828,social,"Hi, courier marked order 88214 as attempted but nobody came. I have had to chase this repeatedly.",ord_73328,enterprise,2026-04-21T10:44:00+00:00,2026-04-22T05:44:00+00:00,delivery_issue,negative,normal,offer_credit,apply_credit,synthetic_generator
evt_00053,refund_request:05,cust_0049,chat,"the the standing desk arrived damaged so I want compensation for it, and I am not happy about how long it has taken.",ord_85450,free,2026-04-14T21:30:00+00:00,2026-04-16T14:30:00+00:00,refund_request,negative,normal,refund_review,refund_review,synthetic_generator
evt_00054,complaint:09,cust_0647,phone,"Hello, Happy with the service overall, just no one has taken ownership of the problem with my monthly plan. Appreciate it.",ord_62230,free,2026-04-07T08:37:00+00:00,2026-04-09T13:37:00+00:00,complaint,positive,normal,escalate,create_ticket,synthetic_generator
evt_00055,refund_request:05,cust_0419,chat,"Hello, the the wireless keyboard arrived damaged so I want compensation for it. Please advise. Appreciate it.",ord_79637,free,2026-04-28T18:27:00+00:00,2026-05-01T02:27:00+00:00,refund_request,neutral,normal,refund_review,refund_review,synthetic_generator
evt_00056,ambiguous:02,cust_0141,chat,"Happy with the service overall, just no idea where the running shoes is, can someone actually look into this. Please let me know.",ord_36222,enterprise,2026-04-07T08:28:00+00:00,2026-04-10T04:28:00+00:00,tracking_request,positive,normal,send_tracking_update,send_tracking_update,synthetic_generator
evt_00057,refund_request:11,cust_0065,email,"is it possible to undo the purchase of the wireless keyboard. Your team has been great so far, thank you. Appreciate it.",ord_32644,free,2026-05-01T12:49:00+00:00,2026-05-03T15:49:00+00:00,refund_request,positive,normal,refund_review,refund_review,synthetic_generator
evt_00058,refund_request:09,cust_0041,phone,"Hi, This is disappointing - I am returning teh standing desk, what happens with the payment. Regards.",ord_64573,standard,2026-04-20T21:30:00+00:00,2026-04-21T06:30:00+00:00,refund_request,negative,normal,refund_review,refund_review,synthetic_generator
evt_00059,tracking_request:00,cust_0824,chat,Hey - This is disappointing - where is my order 88214 right now. Appreciate it.,ord_82950,standard,2026-04-30T07:15:00+00:00,2026-04-30T20:15:00+00:00,tracking_request,negative,normal,send_tracking_update,send_tracking_update,synthetic_generator
evt_00060,tracking_request:06,cust_0365,chat,Hey - could you tell me which stage the running shoes is at. Thanks.,ord_96178,free,2026-04-15T16:08:00+00:00,2026-04-17T03:08:00+00:00,tracking_request,neutral,normal,send_tracking_update,send_tracking_update,synthetic_generator
evt_00061,complaint:13,cust_0679,phone,"Hey - Honestly, I have lost confidence in how you handle things like my monthly plan. I expected better than this. Thanks.",ord_57680,standard,2026-04-16T17:31:00+00:00,2026-04-19T08:31:00+00:00,complaint,negative,normal,escalate,create_ticket,synthetic_generator
evt_00062,delivery_issue:00,cust_0864,social,"Hey - Happy with the service overall, just my my monthly plan still has not turned up. Please let me know.",ord_27541,enterprise,2026-04-21T16:43:00+00:00,2026-04-21T23:43:00+00:00,delivery_issue,positive,high,offer_credit,apply_credit,synthetic_generator
evt_00063,tracking_request:04,cust_0664,phone,"Good morning, please share the shipment progress for order 88214, whenever you get a chance. Please let me know.",ord_79091,standard,2026-04-30T00:30:00+00:00,2026-05-01T06:30:00+00:00,tracking_request,neutral,normal,send_tracking_update,send_tracking_update,synthetic_generator
evt_00064,ambiguous:06,cust_0539,social,"Good morning, Honestly, I have given up waiting for order 40917, just close it out for me. I expected better than this. Thanks.",ord_40041,free,2026-04-09T01:30:00+00:00,2026-04-10T07:30:00+00:00,refund_request,negative,normal,refund_review,refund_review,synthetic_generator
evt_00065,complaint:13,cust_0368,phone,"Hi, I have lost confidence in how you handle things like the standing desk, and I am not happy about how long it has taken. Thanks.",ord_20742,free,2026-04-28T20:28:00+00:00,2026-04-29T17:28:00+00:00,complaint,negative,normal,escalate,create_ticket,synthetic_generator
evt_00066,refund_request:07,cust_0658,email,the delivery of order 88214 was fine but I changed my mind and want a refund. Appreciate it.,ord_83701,free,2026-04-20T20:18:00+00:00,2026-04-22T22:18:00+00:00,refund_request,neutral,normal,refund_review,refund_review,synthetic_generator
evt_00067,tracking_request:05,cust_0497,email,"Hey - Hi there, I want to follow the journey of my my monthly plan. Thanks.",ord_89663,free,2026-04-20T01:35:00+00:00,2026-04-20T22:35:00+00:00,tracking_request,neutral,normal,send_tracking_update,send_tracking_update,synthetic_generator
evt_00068,tracking_request:00,cust_0021,chat,where is my the blue headphones right now. I have had to chase this repeatedly. Appreciate it.,ord_17235,standard,2026-04-18T22:16:00+00:00,2026-04-20T01:16:00+00:00,tracking_request,negative,normal,send_tracking_update,send_tracking_update,synthetic_generator
evt_00069,complaint:11,cust_0323,email,Hey - the way the annual subscription was dealt with reflects badly on your company. This has been a frustrating experience. Regards.,ord_71771,free,2026-04-09T19:56:00+00:00,2026-04-10T07:56:00+00:00,complaint,negative,normal,escalate,create_ticket,synthetic_generator
evt_00070,complaint:01,cust_0046,social,"Hello, the service around the blue headphones has been genuinely poor. Really appreciate the quick responses previously. Regards.",ord_15315,enterprise,2026-04-20T07:45:00+00:00,2026-04-23T04:45:00+00:00,complaint,positive,normal,escalate,create_ticket,synthetic_generator
evt_00071,delivery_issue:11,cust_0192,chat,"Hi, Honestly, nobody has been able to deliver the running shoes yet. I expected better than this. Regards.",ord_18320,standard,2026-04-25T11:55:00+00:00,2026-04-27T06:55:00+00:00,delivery_issue,negative,normal,offer_credit,apply_credit,synthetic_generator
evt_00072,complaint:11,cust_0771,chat,"Hi, the way order 88214 was dealt with reflects badly on your company, which is really not good enough.",ord_68356,standard,2026-04-12T14:09:00+00:00,2026-04-15T12:09:00+00:00,complaint,positive,normal,escalate,create_ticket,synthetic_generator
evt_00073,complaint:10,cust_0495,chat,Hey - I have received three contradictory answers about the running shoes. At this point I have run out of patience. Appreciate it.,ord_52871,free,2026-04-13T05:03:00+00:00,2026-04-13T14:03:00+00:00,complaint,negative,normal,escalate,create_ticket,synthetic_generator
evt_00074,tracking_request:07,cust_0365,phone,"Hello, Honestly, is there a reference number I can use to watch the replacement charger. I expected better than this. Appreciate it.",ord_77630,standard,2026-04-16T15:55:00+00:00,2026-04-19T11:55:00+00:00,tracking_request,negative,normal,send_tracking_update,send_tracking_update,synthetic_generator
evt_00075,refund_request:00,cust_0278,phone,Hey - I would like my money back for the annual subscription. Please let me know.,ord_80350,standard,2026-05-03T08:53:00+00:00,2026-05-04T19:53:00+00:00,refund_request,neutral,normal,refund_review,refund_review,synthetic_generator
evt_00076,complaint:11,cust_0551,phone,"Hi, the way my monthly plan was dealt with reflects badly on your company. I have had to chase this repeatedly. Please let me know.",ord_47656,free,2026-04-25T01:28:00+00:00,2026-04-26T14:28:00+00:00,complaint,negative,normal,escalate,create_ticket,synthetic_generator
evt_00077,delivery_issue:01,cust_0312,phone,"Hi there, the parcel with order 40917 is running behind schedule. Appreciate it.",ord_36937,free,2026-04-18T13:45:00+00:00,2026-04-20T17:45:00+00:00,delivery_issue,neutral,normal,offer_credit,apply_credit,synthetic_generator
evt_00078,complaint:07,cust_0885,social,"I have been passed between four agents about the standing desk, which is really not good enough. Appreciate it.",ord_43395,standard,2026-05-02T04:56:00+00:00,2026-05-03T23:56:00+00:00,complaint,negative,normal,escalate,create_ticket,synthetic_generator
evt_00079,complaint:00,cust_0751,chat,Hey - this is the third time I have written about the kitchen scale and nobody replies. I have had to chase this repeatedly.,ord_18973,free,2026-04-20T08:15:00+00:00,2026-04-22T18:15:00+00:00,complaint,negative,normal,escalate,create_ticket,synthetic_generator
evt_00080,general_question:12,cust_0068,phone,"Hello, are spare parts available for order 88214, whenever you get a chance. Regards.",ord_58169,standard,2026-04-14T07:27:00+00:00,2026-04-16T13:27:00+00:00,general_question,neutral,normal,auto_resolve,knowledge_response,synthetic_generator
evt_00081,refund_request:02,cust_0814,chat,"Good morning, can you send this the annual subscription back and return the payment. Please advise. Regards.",ord_48523,free,2026-04-08T17:55:00+00:00,2026-04-10T16:55:00+00:00,refund_request,neutral,normal,refund_review,refund_review,synthetic_generator
evt_00082,complaint:00,cust_0589,email,"Hello, Hi there, this is the third time I have written about the replacement charger and nobody replies.",ord_65731,free,2026-04-27T11:10:00+00:00,2026-04-30T01:10:00+00:00,complaint,neutral,normal,escalate,create_ticket,synthetic_generator
evt_00083,ambiguous:00,cust_0187,chat,"Hello, my monthly plan has not arrived and I am starting to want my money back. I have had to chase this repeatedly. Thanks.",ord_36121,standard,2026-05-02T02:35:00+00:00,2026-05-03T15:35:00+00:00,delivery_issue,negative,normal,offer_credit,apply_credit,synthetic_generator
evt_00084,tracking_request:01,cust_0824,social,"Good morning, Happy with the service overall, just can I get a status update on the annual subscription. Regards.",ord_64208,free,2026-04-15T12:28:00+00:00,2026-04-17T14:28:00+00:00,tracking_request,positive,normal,send_tracking_update,send_tracking_update,synthetic_generator
evt_00085,tracking_request:04,cust_0219,email,"Hi, please share the shipment progress for the kitchen scale. I have had to chase this repeatedly. Appreciate it.",ord_65251,standard,2026-04-20T06:49:00+00:00,2026-04-20T23:49:00+00:00,tracking_request,negative,normal,send_tracking_update,send_tracking_update,synthetic_generator
evt_00086,refund_request:05,cust_0608,email,"Hello, the the wireless keyboard arrived damaged so I want compensation for it. Your team has been great so far, thank you. Please let me know.",ord_60554,free,2026-05-04T20:43:00+00:00,2026-05-06T01:43:00+00:00,refund_request,positive,normal,refund_review,refund_review,synthetic_generator
evt_00087,ambiguous:01,cust_0219,phone,"Good morning, This is disappointing - if the blue headphones cannot get here this week I would rather be refunded. Please let me know.",ord_94372,free,2026-04-17T12:56:00+00:00,2026-04-18T04:56:00+00:00,refund_request,negative,normal,refund_review,refund_review,synthetic_generator
evt_00088,tracking_request:08,cust_0275,phone,"Hello, when is the replacement charger scheduled to arrive. Please advise. Regards.",ord_72830,free,2026-04-17T02:36:00+00:00,2026-04-18T13:36:00+00:00,tracking_request,neutral,normal,send_tracking_update,send_tracking_update,synthetic_generator
evt_00089,general_question:06,cust_0156,social,Hey - Quick question - do you ship the kitchen scale internationally.,ord_30973,free,2026-04-16T12:15:00+00:00,2026-04-18T06:15:00+00:00,general_question,neutral,normal,auto_resolve,knowledge_response,synthetic_generator
evt_00090,tracking_request:08,cust_0696,social,"Hello, when is the wireless keyboard scheduled to arrive. Thanks. Thanks.",ord_64326,free,2026-04-21T17:33:00+00:00,2026-04-21T22:33:00+00:00,tracking_request,positive,normal,send_tracking_update,send_tracking_update,synthetic_generator
evt_00091,refund_request:03,cust_0747,chat,"Hello, I no longer want the blue headphones and expect the amount returned. Please advise.",ord_52325,free,2026-04-22T09:32:00+00:00,2026-04-23T23:32:00+00:00,refund_request,neutral,normal,refund_review,refund_review,synthetic_generator
evt_00092,refund_request:09,cust_0358,chat,"Hey - Quick question - I am returning the annual subscription, what happens with the payment. Regards.",ord_86760,enterprise,2026-04-10T19:51:00+00:00,2026-04-12T00:51:00+00:00,refund_request,neutral,normal,refund_review,refund_review,synthetic_generator
evt_00093,refund_request:02,cust_0146,email,"Hello, Quick question - can you send this the kitchen scale back and return the payment.",ord_24255,standard,2026-04-19T20:54:00+00:00,2026-04-21T05:54:00+00:00,refund_request,neutral,normal,refund_review,refund_review,synthetic_generator
evt_00094,delivery_issue:08,cust_0274,chat,"Good morning, order 40917 was returned to sender without anyone contacting me. I have had to chase this repeatedly. Regards.",ord_13837,enterprise,2026-04-24T21:20:00+00:00,2026-04-27T14:20:00+00:00,delivery_issue,negative,normal,offer_credit,apply_credit,synthetic_generator
evt_00095,delivery_issue:05,cust_0303,social,"Hi, it has been two weeks and my monthly plan has not reached me. I have had to chase this repeatedly.",ord_16007,enterprise,2026-04-11T18:57:00+00:00,2026-04-14T15:57:00+00:00,delivery_issue,negative,normal,offer_credit,apply_credit,synthetic_generator
evt_00096,tracking_request:06,cust_0806,phone,"Good morning, Hello, could you tell me which stage the running shoes is at. Thanks. Appreciate it.",ord_82812,free,2026-04-30T10:26:00+00:00,2026-05-02T21:26:00+00:00,tracking_request,neutral,normal,send_tracking_update,send_tracking_update,synthetic_generator
evt_00097,refund_request:04,cust_0121,phone,"Hey - requesting reimbursement for the kitchen scale, whenever you get a chance.",ord_97278,enterprise,2026-04-24T05:21:00+00:00,2026-04-26T15:21:00+00:00,refund_request,neutral,normal,refund_review,refund_review,synthetic_generator
evt_00098,tracking_request:09,cust_0423,social,Hey - what does the courier say about the standing desk at the moment. This has been a frustrating experience. Thanks.,ord_22811,free,2026-04-08T15:40:00+00:00,2026-04-11T15:40:00+00:00,tracking_request,negative,normal,send_tracking_update,send_tracking_update,synthetic_generator
evt_00099,refund_request:11,cust_0069,email,"Hi, is it possible to undo the purchase of the annual subscription. No rush at all, you have been helpful. Regards.",ord_33567,enterprise,2026-04-22T16:01:00+00:00,2026-04-25T00:01:00+00:00,refund_request,positive,normal,refund_review,refund_review,synthetic_generator
evt_00100,complaint:06,cust_0224,chat,"Good morning, every person I speak to about the running shoes tells me something different. This has been a frustrating experience. Appreciate it.",ord_47517,free,2026-04-14T05:28:00+00:00,2026-04-17T01:28:00+00:00,complaint,negative,normal,escalate,create_ticket,synthetic_generator
evt_00101,ambiguous:02,cust_0398,social,"Hello, no idea where order 40917 is, can someone actually look into this. At this point I have run out of patience. Please let me know.",ord_53913,standard,2026-04-28T20:46:00+00:00,2026-04-29T08:46:00+00:00,tracking_request,negative,normal,send_tracking_update,send_tracking_update,synthetic_generator
evt_00102,ambiguous:04,cust_0217,chat,"Hi, Hi there, what are my options if teh wireless keyboard never shows up. pls let me know.",ord_54656,free,2026-04-22T18:28:00+00:00,2026-04-23T21:28:00+00:00,general_question,neutral,normal,auto_resolve,knowledge_response,synthetic_generator
evt_00103,refund_request:13,cust_0255,chat,"raise a return for oder 88214 and refund me please, which is really not good enough. Please let me know.",ord_37505,standard,2026-04-08T23:46:00+00:00,2026-04-11T01:46:00+00:00,refund_request,negative,normal,refund_review,refund_review,synthetic_generator
